resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,total_cycles,total_stall_cycles,total_macs,total_sram_accesses,total_sram_ifmap_reads,total_sram_filter_reads,total_sram_ofmap_writes,total_dram_accesses,total_dram_ifmap_reads,total_dram_filter_reads,total_dram_ofmap_writes,energy_mac_pj,energy_sram_ifmap_pj,energy_sram_filter_pj,energy_sram_ofmap_pj,energy_sram_pj,energy_dram_ifmap_pj,energy_dram_filter_pj,energy_dram_ofmap_pj,energy_dram_pj,energy_total_pj,analytical_lower_bound_ms,energy_backend,energy_model,sram_read_pj_per_byte,sram_write_pj_per_byte,dram_read_pj_per_byte,dram_write_pj_per_byte,latency_ms,num_pes,cycles_x_pes,stall_pct,energy_total_mj,edp_mj_ms,average_power_w_at_30fps,deadline_ms,feasible,average_power_w_at_deadline_fps
1080p,1920,1080,128,128,5,32,4096,50.0,os,11772570.0,0.0,89164800,87804000.0,70502400.0,2786400.0,14515200.0,76877550.0,70508250.0,148500.0,6220800.0,20507904.0,352512000.0,13932000.0,72576000.0,439020000.0,11281320000.0,23760000.0,995328000.0,12300408000.0,12759935904.0,0.087075,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,11.77257,1024,12055111680.0,0.0,12.759935904,150.21723862535327,0.38279807712,33,True,0.38666472436363636
1080p,1920,1080,128,128,5,32,256,800.0,ws,4199865.0,0.0,89164800,76729005.0,70502400.0,5805.0,6220800.0,82804800.0,76368000.0,216000.0,6220800.0,20507904.0,352512000.0,29025.0,31104000.0,383645025.0,12218880000.0,34560000.0,995328000.0,13248768000.0,13652920929.0,0.087075,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,4.199865,1024,4300661760.0,0.0,13.652920929,57.34042475747459,0.40958762787,100,True,0.13652920929
1080p,1920,1080,128,128,5,32,256,200.0,ws,4282830.0,0.0,89164800,76729005.0,70502400.0,5805.0,6220800.0,82492800.0,76110000.0,162000.0,6220800.0,20507904.0,352512000.0,29025.0,31104000.0,383645025.0,12177600000.0,25920000.0,995328000.0,13198848000.0,13603000929.0,0.087075,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,4.28283,1024,4385617920.0,0.0,13.603000929,58.259340468749066,0.40809002787,100,True,0.13603000929
1080p,1920,1080,128,128,5,32,256,50.0,ws,4614645.0,0.0,89164800,76729005.0,70502400.0,5805.0,6220800.0,82350300.0,75981000.0,148500.0,6220800.0,20507904.0,352512000.0,29025.0,31104000.0,383645025.0,12156960000.0,23760000.0,995328000.0,13176048000.0,13580200929.0,0.087075,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,4.614644999999999,1024,4725396480.0,0.0,13.580200929,62.6678063160052,0.40740602787,100,True,0.13580200929
1080p,1920,1080,128,128,5,128,4096,800.0,os,8875920.0,0.0,89164800,85714200.0,70502400.0,696600.0,14515200.0,77440800.0,70572000.0,648000.0,6220800.0,20507904.0,352512000.0,3483000.0,72576000.0,428571000.0,11291520000.0,103680000.0,995328000.0,12390528000.0,12839606904.0,0.0054421875,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,8.87592,16384,145423073280.0,0.0,12.839606904,113.96332371135169,0.38518820712,100,True,0.12839606904
1080p,1920,1080,128,128,5,128,4096,200.0,os,9163605.0,0.0,89164800,85714200.0,70502400.0,696600.0,14515200.0,77335800.0,70521000.0,594000.0,6220800.0,20507904.0,352512000.0,3483000.0,72576000.0,428571000.0,11283360000.0,95040000.0,995328000.0,12373728000.0,12822806904.0,0.010368,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,9.163605,16384,150136504320.0,0.0,12.822806904,117.50313745952893,0.38468420712,100,True,0.12822806904
1080p,1920,1080,128,128,5,64,4096,800.0,os,9361920.0,0.0,89164800,86410800.0,70502400.0,1393200.0,14515200.0,77116800.0,70572000.0,324000.0,6220800.0,20507904.0,352512000.0,6966000.0,72576000.0,432054000.0,11291520000.0,51840000.0,995328000.0,12338688000.0,12791249904.0,0.02176875,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,9.36192,4096,38346424320.0,0.0,12.791249904,119.75065830125568,0.38373749712,100,True,0.12791249904
1080p,1920,1080,128,128,5,64,4096,200.0,os,9649605.0,0.0,89164800,86410800.0,70502400.0,1393200.0,14515200.0,77038800.0,70521000.0,297000.0,6220800.0,20507904.0,352512000.0,6966000.0,72576000.0,432054000.0,11283360000.0,47520000.0,995328000.0,12326208000.0,12778769904.0,0.02176875,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,9.649605000000001,4096,39524782080.0,0.0,12.778769904,123.31008195948795,0.38336309712,100,True,0.12778769904
1080p,1920,1080,128,128,5,32,4096,200.0,os,10621605.0,0.0,89164800,87804000.0,70502400.0,2786400.0,14515200.0,76903800.0,70521000.0,162000.0,6220800.0,20507904.0,352512000.0,13932000.0,72576000.0,439020000.0,11283360000.0,25920000.0,995328000.0,12304608000.0,12764135904.0,0.087075,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,10.621604999999999,1024,10876523520.0,0.0,12.764135904,135.5756097386059,0.38292407712,100,True,0.12764135904
1080p,1920,1080,128,128,5,32,4096,50.0,os,11772570.0,0.0,89164800,87804000.0,70502400.0,2786400.0,14515200.0,76877550.0,70508250.0,148500.0,6220800.0,20507904.0,352512000.0,13932000.0,72576000.0,439020000.0,11281320000.0,23760000.0,995328000.0,12300408000.0,12759935904.0,0.087075,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,11.77257,1024,12055111680.0,0.0,12.759935904,150.21723862535327,0.38279807712,100,True,0.12759935904
1080p,1920,1080,128,128,5,32,256,800.0,ws,4199865.0,0.0,89164800,76729005.0,70502400.0,5805.0,6220800.0,82804800.0,76368000.0,216000.0,6220800.0,20507904.0,352512000.0,29025.0,31104000.0,383645025.0,12218880000.0,34560000.0,995328000.0,13248768000.0,13652920929.0,0.087075,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,4.199865,1024,4300661760.0,0.0,13.652920929,57.34042475747459,0.40958762787,200,True,0.068264604645
1080p,1920,1080,128,128,5,32,256,200.0,ws,4282830.0,0.0,89164800,76729005.0,70502400.0,5805.0,6220800.0,82492800.0,76110000.0,162000.0,6220800.0,20507904.0,352512000.0,29025.0,31104000.0,383645025.0,12177600000.0,25920000.0,995328000.0,13198848000.0,13603000929.0,0.087075,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,4.28283,1024,4385617920.0,0.0,13.603000929,58.259340468749066,0.40809002787,200,True,0.068015004645
1080p,1920,1080,128,128,5,32,256,50.0,ws,4614645.0,0.0,89164800,76729005.0,70502400.0,5805.0,6220800.0,82350300.0,75981000.0,148500.0,6220800.0,20507904.0,352512000.0,29025.0,31104000.0,383645025.0,12156960000.0,23760000.0,995328000.0,13176048000.0,13580200929.0,0.087075,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,4.614644999999999,1024,4725396480.0,0.0,13.580200929,62.6678063160052,0.40740602787,200,True,0.067901004645
1080p,1920,1080,128,128,5,128,4096,800.0,os,8875920.0,0.0,89164800,85714200.0,70502400.0,696600.0,14515200.0,77440800.0,70572000.0,648000.0,6220800.0,20507904.0,352512000.0,3483000.0,72576000.0,428571000.0,11291520000.0,103680000.0,995328000.0,12390528000.0,12839606904.0,0.0054421875,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,8.87592,16384,145423073280.0,0.0,12.839606904,113.96332371135169,0.38518820712,200,True,0.06419803452
1080p,1920,1080,128,128,5,128,4096,200.0,os,9163605.0,0.0,89164800,85714200.0,70502400.0,696600.0,14515200.0,77335800.0,70521000.0,594000.0,6220800.0,20507904.0,352512000.0,3483000.0,72576000.0,428571000.0,11283360000.0,95040000.0,995328000.0,12373728000.0,12822806904.0,0.010368,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,9.163605,16384,150136504320.0,0.0,12.822806904,117.50313745952893,0.38468420712,200,True,0.06411403452
1080p,1920,1080,128,128,5,64,4096,800.0,os,9361920.0,0.0,89164800,86410800.0,70502400.0,1393200.0,14515200.0,77116800.0,70572000.0,324000.0,6220800.0,20507904.0,352512000.0,6966000.0,72576000.0,432054000.0,11291520000.0,51840000.0,995328000.0,12338688000.0,12791249904.0,0.02176875,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,9.36192,4096,38346424320.0,0.0,12.791249904,119.75065830125568,0.38373749712,200,True,0.06395624952
1080p,1920,1080,128,128,5,64,4096,200.0,os,9649605.0,0.0,89164800,86410800.0,70502400.0,1393200.0,14515200.0,77038800.0,70521000.0,297000.0,6220800.0,20507904.0,352512000.0,6966000.0,72576000.0,432054000.0,11283360000.0,47520000.0,995328000.0,12326208000.0,12778769904.0,0.02176875,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,9.649605000000001,4096,39524782080.0,0.0,12.778769904,123.31008195948795,0.38336309712,200,True,0.06389384952
1080p,1920,1080,128,128,5,32,4096,200.0,os,10621605.0,0.0,89164800,87804000.0,70502400.0,2786400.0,14515200.0,76903800.0,70521000.0,162000.0,6220800.0,20507904.0,352512000.0,13932000.0,72576000.0,439020000.0,11283360000.0,25920000.0,995328000.0,12304608000.0,12764135904.0,0.087075,accelergy,assignment_style_accelergy_ert,5.0,5.0,160.0,160.0,10.621604999999999,1024,10876523520.0,0.0,12.764135904,135.5756097386059,0.38292407712,200,True,0.06382067952
